Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled
"Spain","Fixed measurement","Sampling Point","SP_11020004_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","98.23000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0124_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0124","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_26089001_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","98.26000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1704_7_ALT_H_hrsAbove_2025","Yes","ZON_ES1704","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_21041008_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","89.84000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0121_7_INT_H_hrsAbove_2025","Yes","ZON_ES0121","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_10148001_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","83.04000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1103_7_INT_H_hrsAbove_2025","Yes","ZON_ES1103","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_11026001_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","98.70000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0130_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0130","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07046001_14_6","O3","Ozone (air)","P1Y-hrsAbove240","1 year hour exceed 240","2025","0.00000000","98.77000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0412_7_ALT_H_hrsAbove_2025","Yes","ZON_ES0412","Health","Alert threshold (ALT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_21050003_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","83.22000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0121_7_INT_H_hrsAbove_2025","Yes","ZON_ES0121","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_20069005_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","94.43000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1610_7_INT_H_hrsAbove_2025","Yes","ZON_ES1610","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_11026001_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","98.70000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES0130_7_INT_H_hrsAbove_2025","Yes","ZON_ES0130","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_03009006_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2025","0.00000000","99.16000000","Aggregation calculated by the EEA based on reported time series","count","0","false","","","ARE_ES1012_7_INT_H_hrsAbove_2025","Yes","ZON_ES1012","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from UTD (E2a) data with preliminary assessment regimes (C prelim).","14/04/2026 22:28:00"
