Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled
"Spain","Fixed measurement","Sampling Point","SP_28102001_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2024","2.00000000","98.50000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","2","ARE_ES1313_7_INT_H_hrsAbove_2024","No","ZON_ES1313","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","38.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","29","ARE_ES0511_5_LV_H_daysAbove_2024","No","ZON_ES0511","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_13071019_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2024","31412.00000000","97.28000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","31412","ARE_ES0725_7_LTO_V_AOT40c_2024","No","ZON_ES0725","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_28133002_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","19.00000000","97.81000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","34","ARE_ES1312_7_LTO_H_daysAbove_2024","No","ZON_ES1312","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_25172001_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","18.00000000","98.63000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","37","ARE_ES0913_7_LTO_H_daysAbove_2024","No","ZON_ES0913","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_08184006_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2024","11315.00000000","98.37000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","11315","ARE_ES0902_7_LTO_V_AOT40c_2024","No","ZON_ES0902","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_10182001_14_6","O3","Ozone (air)","AOT40c-P5Y","AOT40 vegetation protection averaged over 5 years","2024","18892.00000000","97.66000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","18000","true","true","18892","ARE_ES1104_7_TV_V_AOT40c-5yr_2024","No","ZON_ES1104","Vegetation","Target Value (TV)","AOT40 vegetation protection averaged over 5 years","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","47.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","true","64","ARE_ES0513_5_LV_H_daysAbove_2024","No","ZON_ES0513","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07032003_14_6","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","2.00000000","99.45000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","24","ARE_ES0409_7_LTO_H_daysAbove_2024","No","ZON_ES0409","Health","Long term objective (LTO)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","38.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","12","ARE_ES0501_5_LV_H_daysAbove_2024","No","ZON_ES0501","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_19130001_14_6","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2024","2.00000000","98.28000000","Aggregation calculated by the EEA based on reported time series","count","0","true","true","2","ARE_ES0721_7_INT_H_hrsAbove_2024","No","ZON_ES0721","Health","Information Threshold (INT)","Hours in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_35017002_10_47","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","53.00000000","98.36000000","Aggregation calculated by the EEA based on reported time series","count","35","true","false","12","ARE_ES0504_5_LV_H_daysAbove_2024","No","ZON_ES0504","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_11008008_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2024","7033.00000000","97.37000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","10834","ARE_ES0104_7_LTO_V_AOT40c_2024","No","ZON_ES0104","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","39.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","29","ARE_ES0508_5_LV_H_daysAbove_2024","No","ZON_ES0508","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_07054001_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2024","9679.00000000","96.11000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","11148","ARE_ES0411_7_LTO_V_AOT40c_2024","No","ZON_ES0411","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","47.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","33","ARE_ES0513_5_LV_H_daysAbove_2024","No","ZON_ES0513","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_46242001_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2024","14848.00000000","98.82000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","21829","ARE_ES1008_7_LTO_V_AOT40c_2024","No","ZON_ES1008","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Objective estimation","Model","OBE_ES_CSIC_NS_PM10_H_LV_daysAbove","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","46.00000000","","Maximum air pollution level identified by the EEA in reported modelling results within the zone.","count","35","true","false","7","ARE_ES0510_5_LV_H_daysAbove_2024","No","ZON_ES0510","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of reported modelling results (E1b) with assessment regimes (C) and zones (B).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_03099002_14_6","O3","Ozone (air)","AOT40c","AOT40 vegetation protection","2024","14790.00000000","97.19000000","Aggregation calculated by the EEA based on reported time series","ug.m-3","6000","true","true","20099","ARE_ES1013_7_LTO_V_AOT40c_2024","No","ZON_ES1013","Vegetation","Long term objective (LTO)","AOT40 vegetation protection","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
"Spain","Fixed measurement","Sampling Point","SP_35017002_10_47","PM10","Particulate matter < 10 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","53.00000000","98.36000000","Aggregation calculated by the EEA based on reported time series","count","35","true","true","53","ARE_ES0504_5_LV_H_daysAbove_2024","No","ZON_ES0504","Health","Limit Value (LV)","Days in exceedance in a calendar year","Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).","14/04/2026 22:28:00"
