Country,Assessment Type,Assessment Method,AQ Assessment Method Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Data Coverage,EEA Assessment Description,Unit Of Air Pollution Level,Exceedance Threshold,EEA Exceedance Assessment,Country Exceedance Assessment,Country Reported Max Value,AQ Assessment Regime Id,Preliminary,AQ Zone Id,Protection Target,Objective Type,Reporting Metric,Data Description,Compiled,Resident Population,Geographical Name,I
Spain,Fixed measurement,Sampling Point,SP_28065014_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,2020,26.0,98.59,Aggregation calculated by the EEA based on reported time series,ug.m-3,40.0,False,False,30.0,ARE_ES1309_8_LV_H_aMean_2020,No,ZON_ES1309,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1498383.0,URBANA SUR,4.014154844101583
Spain,Fixed measurement,Sampling Point,SP_08074005_1_38,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,2020,0.0,97.72,Aggregation calculated by the EEA based on reported time series,count,24.0,False,False,0.0,ARE_ES0903_1_LV_H_hrsAbove_2020,No,ZON_ES0903,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,510614.0,PENEDES - GARRAF,0.0
Spain,Fixed random measurements,Sampling Point,SP_43148003_10_M,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2020,2.0,14.21,Aggregation calculated by the EEA based on reported time series,count,35.0,False,False,6.0,ARE_ES0904_5_LV_H_daysAbove_2020,No,ZON_ES0904,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,461037.0,CAMP DE TARRAGONA,0.323642044605596
Spain,Fixed measurement,Sampling Point,SP_03014009_9_46,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2020,7.0,97.69,Aggregation calculated by the EEA based on reported time series,ug.m-3,25.0,False,False,12.0,ARE_ES1017_6001_LV_H_aMean_2020,No,ZON_ES1017,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,337304.0,ALACANT,1.5478460175932658
Spain,Fixed measurement,Sampling Point,SP_07003004_10_49,PM10,Particulate matter < 10 µm (aerosol),P1Y,Annual mean / 1 calendar year,2020,16.0,98.44,Aggregation calculated by the EEA based on reported time series,ug.m-3,40.0,False,False,20.0,ARE_ES0413_5_LV_H_aMean_2020,No,ZON_ES0413,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,468906.0,RESTO MALLORCA,2.268434315957745
Spain,Fixed measurement,Sampling Point,SP_07042001_1_38,SO2,Sulphur dioxide (air),winter-avg,Winter mean,2020,2.0,99.0,Aggregation calculated by the EEA based on reported time series,ug.m-3,20.0,False,False,2.1,ARE_ES0413_1_CL_V_wMean_2020,No,ZON_ES0413,Vegetation,Critical level (CL),Winter Mean,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,468906.0,RESTO MALLORCA,0.5671085789894362
Spain,Fixed random measurements,Sampling Point,SP_48020003_9_M,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2020,11.0,43.72,Aggregation calculated by the EEA based on reported time series,ug.m-3,25.0,False,False,12.0,ARE_ES1602_6001_LV_H_aMean_2020,No,ZON_ES1602,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,845280.0,BAJO NERVION,2.6078802610708602
Spain,Fixed measurement,Sampling Point,SP_27038003_8_8,NO2,Nitrogen dioxide (air),P1Y-hrsAbove200,1 year hour exceed 200,2020,0.0,95.89,Aggregation calculated by the EEA based on reported time series,count,18.0,False,False,0.0,ARE_ES1227_8_LV_H_hrsAbove_2020,No,ZON_ES1227,Health,Limit Value (LV),Hours in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1432558.0,"GALICIA RURAL CO, NOX, NO2",0.0
Spain,Fixed measurement,Sampling Point,SP_15032001_10_46,PM10,Particulate matter < 10 µm (aerosol),P1Y-daysAbove50,1 year day exceed 50,2020,2.0,90.71,Aggregation calculated by the EEA based on reported time series,count,35.0,False,False,6.0,ARE_ES1228_5_LV_H_daysAbove_2020,No,ZON_ES1228,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1.0,,0.0
Spain,Fixed measurement,Sampling Point,SP_43005002_1_38,SO2,Sulphur dioxide (air),P1Y-daysAbove125,1 year day exceed 125,2020,0.0,95.63,Aggregation calculated by the EEA based on reported time series,count,3.0,False,False,0.0,ARE_ES0904_1_LV_H_daysAbove_2020,No,ZON_ES0904,Health,Limit Value (LV),Days in exceedance in a calendar year,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,461037.0,CAMP DE TARRAGONA,0.0
Spain,Fixed measurement,Sampling Point,SP_12140002_8_8,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,2020,7.0,91.55,Aggregation calculated by the EEA based on reported time series,ug.m-3,40.0,False,False,7.3,ARE_ES1006_8_LV_H_aMean_2020,No,ZON_ES1006,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,24401.0,PALANCIA-JAVALAMBRE. AREA INTERIOR,0.7677963343624321
Spain,Objective estimation,Sampling Point,SP_33036999_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2020,1.0,97.83,Aggregation calculated by the EEA based on reported time series,ug.m-3,20.0,False,False,0.5,ARE_ES0603_1_CL_V_aMean_2020,No,ZON_ES0603,Vegetation,Critical level (CL),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,222740.0,CANTABRIA ZONA LITORAL,0.26738991076624097
Spain,Fixed measurement,Sampling Point,SP_11008009_14_6,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2020,3.0,100.0,Aggregation calculated by the EEA based on reported time series,count,25.0,False,True,50.0,ARE_ES0123_7_TV_H_daysAbove-3yr_2020,No,ZON_ES0123,Health,Target Value (TV),Days in exceedance averaged over 3 calendar years,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,1.0,,0.0
Spain,Fixed measurement,Sampling Point,SP_03014006_30_59,C6H6,Benzene (air),P1Y,Annual mean / 1 calendar year,2020,1.0,91.36,Aggregation calculated by the EEA based on reported time series,ug.m-3,5.0,False,False,0.5,ARE_ES1017_20_LV_H_aMean_2020,No,ZON_ES1017,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,337304.0,ALACANT,1.1056042982809042
Spain,Fixed measurement,Sampling Point,SP_28079008_9_47,PM2.5,Particulate matter < 2.5 µm (aerosol),P1Y,Annual mean / 1 calendar year,2020,10.0,91.77,Aggregation calculated by the EEA based on reported time series,ug.m-3,25.0,False,False,13.0,ARE_ES1301_6001_LV_H_aMean_2020,No,ZON_ES1301,Health,Limit Value (LV),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,3460491.0,MADRID,2.615655089628321
Spain,Fixed measurement,Sampling Point,SP_07054001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2020,2.0,98.93,Aggregation calculated by the EEA based on reported time series,ug.m-3,20.0,False,False,2.4,ARE_ES0411_1_CL_V_aMean_2020,No,ZON_ES0411,Vegetation,Critical level (CL),Annual mean / average,Compilation of aggregations calculated from validated (E1a) data with assessment regimes (C).,14/04/2026 22:28:00,52148.0,EIVISSA,0.4717237656854212
